"Sum of Sales","Sum of Order Profit","Sum of Cost per item","Sum of Quantity ordered new","Order Date","profits_to_sales","PtoS_KPI"
3019.4946,1706.5988,187.6368,92,2023-06-13,0.565193526095394,"No"
3198.5516,1778.4696,156.3262,44,2023-06-14,0.556023420100523,"No"
3591.4718,2098.7992,124.1976,167,2023-06-15,0.584384151366579,"No"
9728.2756,5659.2744,148.9602,135,2023-06-16,0.581734588193616,"No"
12439.4346,8506.6164,267.9632,139,2023-06-17,0.683842688477176,"No"
46472.1266,26980.2222,1384.1951,194,2023-06-18,0.5805678408528,"No"
2289.0854,1017.6406,214.8386,72,2023-06-19,0.444562094537845,"No"
14193.2891,7445.3726,522.6203,227,2023-06-20,0.524569925092275,"No"
14906.6667,7264.5412,615.8701,75,2023-06-21,0.487335052577516,"No"
587.7003,267.4388,31.7932,64,2023-06-22,0.455059832366939,"No"
10735.5527,6047.2071,363.6823,136,2023-06-23,0.563287915302209,"No"
7403.2916,3814.6822,204.0502,60,2023-06-24,0.515268397640855,"No"
393.7768,163.8905,34.1049,35,2023-06-25,0.416201513141455,"No"
7574.7029,2965.216,274.8361,163,2023-06-26,0.391463010384209,"No"
3917.7047,2217.6558,145.1891,84,2023-06-27,0.566059968736286,"No"
23794.5369,7978.3872,927.8486,251,2023-06-28,0.335303319141294,"No"
